Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
14:07:37 30/05/2019	14	26.1	26.1	26.1	72.8	72.8	72.7	915.4	915.4	715.0	2.1		0.00	30.0
14:11:38 30/05/2019	14	25.2	25.3	25.2	73.4	73.5	73.4	915.4	915.4	715.0	2.4		0.00	30.0
15:00:13 30/05/2019	15	27.6	28.9	25.2	66.0	74.0	62.8	914.6	915.6	914.7	0.0		11397.38	33.0
16:00:07 30/05/2019	16	27.5	29.8	26.1	65.3	70.8	59.8	913.3	914.7	913.2	0.5		11397.38	30.0
17:00:01 30/05/2019	17	28.1	31.9	27.2	61.0	65.3	53.8	912.4	913.3	912.3	1.3		11397.38	31.5
18:00:11 30/05/2019	18	27.1	29.8	27.0	59.9	63.7	54.6	912.1	912.6	911.9	0.8		11397.38	31.5
19:00:05 30/05/2019	19	28.5	29.6	26.5	54.7	61.3	52.9	911.6	912.1	911.5	0.8		11397.38	30.0
19:06:08 30/05/2019	19	28.5	28.5	28.5	56.7	56.7	56.6	911.7	911.7	715.0	0.3		0.00	30.5
20:00:00 30/05/2019	20	25.7	28.6	25.7	64.9	65.1	55.9	912.1	912.2	911.6	0.3		2722.13	27.5
21:00:10 30/05/2019	21	23.7	26.0	23.7	72.6	72.7	63.9	912.4	912.4	912.0	0.0		45.96	23.5
22:00:05 30/05/2019	22	22.6	23.7	22.4	74.3	76.3	72.4	912.7	912.7	912.4	0.3		45.96	22.5
23:00:14 30/05/2019	23	21.9	22.6	21.8	76.0	76.6	73.7	913.3	913.2	912.6	0.0		57.11	21.5
