Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna

			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C

00:00:14 26/05/2019	00	28.4	28.8	28.4	71.2	72.0	70.2	980.0	980.0	979.1	0.0		68.26	28.5
01:00:08 26/05/2019	01	28.0	28.4	27.9	72.9	73.2	71.2	980.2	980.2	980.0	0.0		68.26	28.0
02:00:01 26/05/2019	02	27.9	28.1	27.8	73.0	73.5	72.4	980.2	980.3	980.1	0.0		68.26	28.0
10:35:07 26/05/2019	10	26.4	26.4	26.4	75.2	75.2	75.2	982.5	982.5	715.0	0.0		0.00	26.5
12:07:53 26/05/2019	12	27.3	27.3	27.3	73.7	73.7	73.7	983.0	983.0	715.0	0.0		0.00	27.5
12:11:40 26/05/2019	12	27.3	27.3	27.3	73.8	73.9	73.8	983.0	982.9	715.0	0.0		0.00	27.0
13:00:00 26/05/2019	13	27.8	27.8	27.3	73.9	74.0	72.9	983.1	983.2	983.0	0.0		135.16	28.0
14:00:08 26/05/2019	14	27.9	27.9	27.8	74.4	74.7	73.8	982.8	983.2	982.7	0.0		146.31	28.0
15:00:02 26/05/2019	15	28.4	28.4	27.9	72.2	74.6	72.2	981.9	982.8	981.9	0.0		213.22	28.5
15:08:16 26/05/2019	15	28.5	28.5	28.5	72.0	72.0	72.0	981.7	981.7	715.0	0.0		0.00	28.5
16:00:07 26/05/2019	16	29.0	29.0	28.5	69.8	72.0	69.7	981.1	981.9	981.1	0.0		157.46	29.0
17:00:01 26/05/2019	17	29.4	29.4	29.0	69.2	69.9	68.6	980.5	981.1	980.3	0.0		168.61	29.5
18:00:10 26/05/2019	18	29.3	29.4	29.2	68.1	69.3	66.8	980.2	980.5	980.2	0.0		135.16	29.5
18:24:02 26/05/2019	18	29.3	29.3	29.3	67.3	67.2	67.2	979.9	979.9	715.0	0.0		0.00	29.0
19:00:02 26/05/2019	19	29.1	29.3	29.1	65.7	67.8	65.6	980.1	980.3	979.9	0.0		90.56	29.0
20:00:12 26/05/2019	20	28.9	29.1	28.9	67.9	68.0	64.9	980.6	980.6	980.1	0.0		57.11	29.0
21:00:07 26/05/2019	21	28.5	28.9	28.5	70.8	70.8	67.9	981.3	981.3	980.6	0.0		79.41	28.5
22:00:01 26/05/2019	22	28.1	28.5	28.1	72.4	72.4	70.6	982.0	982.0	981.3	0.0		79.41	28.0
23:00:11 26/05/2019	23	27.6	28.1	27.6	74.4	74.5	72.4	982.6	982.6	982.0	0.0		90.56	27.5
