Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:00 07/06/2019	00	125.0	125.0	125.0	80.2	80.7	74.7	918.5	918.6	918.2	0.0		45.96	16.5
01:00:10 07/06/2019	01	125.0	125.0	125.0	84.4	84.4	80.1	918.7	918.7	918.5	0.3		45.96	15.5
02:00:03 07/06/2019	02	125.0	125.0	125.0	87.2	87.2	84.1	918.7	918.7	918.6	0.0		45.96	15.0
03:00:11 07/06/2019	03	125.0	125.0	125.0	91.8	91.8	87.2	918.8	918.8	918.6	0.0		57.11	14.5
04:00:04 07/06/2019	04	125.0	125.0	125.0	94.9	94.9	91.8	918.5	918.8	918.5	0.0		57.11	14.0
05:00:13 07/06/2019	05	125.0	125.0	125.0	97.2	97.4	94.8	918.2	918.7	918.2	0.0		57.11	13.5
06:00:06 07/06/2019	06	125.0	125.0	125.0	98.4	98.6	97.0	917.9	918.3	917.8	0.0		57.11	13.0
07:00:14 07/06/2019	07	125.0	125.0	125.0	100.0	100.0	98.4	917.9	918.0	917.8	0.0		45.96	12.5
08:00:08 07/06/2019	08	125.0	125.0	125.0	100.0	100.0	100.0	918.2	918.2	917.9	0.0		57.11	12.0
09:00:01 07/06/2019	09	125.0	125.0	125.0	100.0	100.0	100.0	918.6	918.6	918.1	0.0		57.11	12.0
10:00:10 07/06/2019	10	125.0	125.0	125.0	98.2	100.0	98.2	918.9	919.0	918.5	0.0		4015.61	13.5
11:00:05 07/06/2019	11	125.0	125.0	125.0	87.5	98.2	84.6	919.3	919.4	918.9	0.0		11397.38	20.5
12:00:00 07/06/2019	12	125.0	125.0	125.0	82.8	91.0	81.5	919.8	919.9	919.3	0.0		11397.38	22.5
13:00:10 07/06/2019	13	125.0	125.0	125.0	78.1	86.0	74.5	919.9	920.0	919.8	0.0		11397.38	25.5
14:00:06 07/06/2019	14	125.0	125.0	125.0	66.1	79.2	64.6	919.1	919.9	919.0	0.0		11397.38	27.5
15:00:01 07/06/2019	15	125.0	125.0	125.0	62.1	67.7	53.4	918.4	919.1	918.4	0.0		10605.68	26.0
16:00:12 07/06/2019	16	125.0	125.0	125.0	54.7	64.0	50.9	917.4	918.4	917.4	0.0		11397.38	30.0
17:00:07 07/06/2019	17	125.0	125.0	125.0	55.8	59.6	51.2	916.7	917.5	916.6	0.0		11397.38	26.5
18:00:03 07/06/2019	18	125.0	125.0	125.0	52.2	58.5	51.2	916.4	916.7	916.3	0.0		11397.38	28.0
19:00:14 07/06/2019	19	125.0	125.0	125.0	52.2	54.7	49.1	916.2	916.5	916.1	0.0		11397.38	28.0
20:00:10 07/06/2019	20	125.0	125.0	125.0	60.5	61.2	48.8	916.3	916.4	916.1	0.0		4316.68	24.0
21:00:05 07/06/2019	21	125.0	125.0	125.0	78.1	78.1	60.0	916.7	916.7	916.3	0.0		45.96	18.5
22:00:00 07/06/2019	22	125.0	125.0	125.0	82.3	84.7	77.4	917.0	917.0	916.7	0.0		45.96	15.5
23:00:10 07/06/2019	23	125.0	125.0	125.0	83.7	85.9	81.8	917.2	917.3	916.9	0.0		45.96	15.0
