Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:11 09/06/2019	00	125.0	125.0	125.0	87.6	90.3	86.3	917.9	917.9	917.5	0.0		57.11	14.0
01:00:05 09/06/2019	01	125.0	125.0	125.0	92.2	92.9	86.9	918.0	918.2	917.9	0.0		45.96	13.5
01:08:39 09/06/2019	01	14.4	14.4	14.3	90.9	90.9	90.9	918.0	918.0	918.0	0.0		0.00	13.5
01:22:28 09/06/2019	01	13.9	13.9	13.9	93.3	93.3	93.3	918.1	918.1	918.1	0.0		0.00	13.5
01:32:30 09/06/2019	01	14.4	14.4	14.4	91.8	91.8	91.8	918.2	918.1	918.1	0.0		0.00	13.5
01:53:49 09/06/2019	01	14.3	14.3	14.3	92.0	92.1	92.0	918.2	918.2	918.1	0.0		0.00	13.5
01:54:49 09/06/2019	01	14.4	14.4	14.4	91.6	91.6	91.6	918.2	918.2	918.2	0.0		0.00	13.5
02:00:07 09/06/2019	02	14.8	14.8	14.4	93.7	94.0	91.5	918.3	918.3	918.2	0.0		45.96	13.5
03:00:01 09/06/2019	03	14.6	15.1	12.9	95.2	100.0	93.2	918.4	918.5	918.2	0.0		57.11	13.0
04:00:11 09/06/2019	04	15.4	15.5	12.9	96.3	100.0	94.6	918.1	918.6	918.1	0.0		45.96	14.5
05:00:05 09/06/2019	05	14.2	15.5	13.8	100.0	100.0	95.1	917.8	918.2	917.8	0.0		45.96	13.5
06:00:14 09/06/2019	06	13.4	14.3	13.4	100.0	100.0	100.0	917.4	917.9	917.3	0.0		57.11	13.0
07:00:07 09/06/2019	07	13.2	13.6	13.2	100.0	100.0	100.0	917.6	917.6	917.4	0.0		57.11	13.0
08:00:01 09/06/2019	08	12.9	13.2	12.2	100.0	100.0	100.0	917.8	917.9	917.6	0.0		79.41	12.5
09:00:10 09/06/2019	09	12.8	12.9	12.6	100.0	100.0	100.0	918.2	918.3	917.7	0.0		101.71	12.5
10:22:48 09/06/2019	10	11.6	125.0	11.6	100.0	100.0	100.0	1199.8	1199.8	918.2	0.0		3658.79	12.5
