Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:04 06/06/2019	00	125.0	125.0	125.0	88.2	88.2	84.7	919.8	919.9	919.5	0.3		45.96	14.0
00:17:38 06/06/2019	00	14.4	14.4	14.4	89.3	89.3	89.3	919.9	919.9	919.9	0.0		0.00	14.0
00:18:41 06/06/2019	00	14.4	14.4	14.4	89.3	89.3	89.3	919.9	919.9	919.9	0.0		0.00	14.0
00:19:26 06/06/2019	00	14.4	14.4	14.4	89.4	89.4	89.4	919.9	919.9	919.9	0.0		0.00	14.0
01:00:12 06/06/2019	01	14.0	14.4	14.0	91.7	91.7	89.4	920.2	920.2	919.9	0.0		57.11	13.5
02:00:06 06/06/2019	02	13.3	14.0	13.3	95.3	95.4	91.7	920.0	920.1	920.0	0.0		57.11	13.0
03:00:14 06/06/2019	03	12.8	13.3	12.7	98.3	98.3	95.3	919.9	920.1	919.9	0.0		45.96	12.5
04:00:08 06/06/2019	04	12.1	12.8	11.9	100.0	100.0	98.2	919.6	919.9	919.6	0.0		45.96	12.0
05:00:01 06/06/2019	05	12.3	12.5	12.0	100.0	100.0	100.0	919.2	919.6	919.2	0.0		57.11	12.0
06:00:10 06/06/2019	06	12.2	12.5	12.1	100.0	100.0	100.0	919.1	919.2	919.1	0.0		57.11	12.0
07:00:03 06/06/2019	07	12.1	12.2	11.9	100.0	100.0	100.0	919.1	919.4	919.1	0.0		57.11	13.0
08:00:12 06/06/2019	08	12.7	12.7	12.1	100.0	100.0	100.0	919.2	919.3	918.9	0.0		57.11	13.0
09:00:06 06/06/2019	09	11.9	12.7	11.9	100.0	100.0	100.0	919.7	919.9	919.2	0.0		57.11	11.5
10:00:01 06/06/2019	10	13.2	13.1	11.8	97.4	100.0	97.4	920.1	920.1	919.7	0.0		4963.42	13.5
11:00:12 06/06/2019	11	15.0	15.3	13.1	90.4	97.4	89.3	920.7	920.7	920.1	0.0		11397.38	19.0
12:00:07 06/06/2019	12	16.8	17.5	14.9	83.2	91.1	81.2	921.0	921.1	920.6	0.0		11397.38	21.5
13:00:03 06/06/2019	13	18.7	18.8	16.4	77.2	85.1	76.4	921.1	921.2	921.0	0.0		11397.38	24.0
14:00:14 06/06/2019	14	19.0	20.1	17.3	71.1	80.4	69.5	920.4	921.2	920.3	0.0		11397.38	24.0
15:00:09 06/06/2019	15	21.4	21.6	19.0	60.4	71.1	59.9	919.2	920.4	919.2	0.0		11397.38	26.0
16:00:05 06/06/2019	16	125.0	125.0	20.5	58.4	63.7	54.8	918.5	919.4	918.3	0.0		11297.02	26.0
17:00:01 06/06/2019	17	125.0	125.0	125.0	54.7	59.2	50.1	917.4	918.5	917.3	0.0		10282.31	27.0
18:00:12 06/06/2019	18	125.0	125.0	125.0	52.6	57.4	48.2	916.9	917.5	916.9	0.0		11397.38	27.0
19:00:08 06/06/2019	19	125.0	125.0	125.0	55.7	59.4	51.5	916.9	917.0	916.6	0.0		11397.38	25.0
20:00:04 06/06/2019	20	125.0	125.0	125.0	59.8	59.8	53.0	916.8	916.9	916.6	0.0		4071.36	22.5
21:00:14 06/06/2019	21	125.0	125.0	125.0	67.1	67.5	59.8	917.1	917.1	916.8	0.0		45.96	18.0
22:00:10 06/06/2019	22	125.0	125.0	125.0	69.3	69.5	65.9	917.6	917.6	917.0	0.0		45.96	17.5
23:00:05 06/06/2019	23	125.0	125.0	125.0	74.7	74.7	69.3	918.2	918.2	917.6	0.0		45.96	17.5
