Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C

12:22:59 09/05/2019	15	28.4	28.4	28.4	61.2	61.2	61.2	982.9	982.9	982.9	0.0		0.00	28.5
13:03:07 09/05/2019	16	28.4	28.3	28.3	60.1	60.1	60.1	982.2	982.2	715.0	0.0		0.00	28.0
13:03:07 09/05/2019	16	28.4	28.3	28.3	60.1	60.1	60.1	982.2	982.2	715.0	0.0		0.00	28.0
14:00:04 09/05/2019	17	28.4	0.0	28.3	61.8	64.7	59.3	981.6	0.0	981.6	0.0		0.00	29.0
14:19:12 09/05/2019	17	28.6	28.6	28.6	60.6	61.0	60.6	981.4	981.5	981.4	0.0		0.00	29.0
15:17:48 09/05/2019	18	28.7	28.6	28.6	59.1	59.2	59.1	981.1	981.1	715.0	0.0		0.00	29.0
16:17:20 09/05/2019	19	28.4	28.4	28.4	62.9	63.0	62.6	981.2	981.3	715.0	0.0		0.00	28.5
16:25:52 09/05/2019	19	28.4	28.4	28.4	62.3	62.4	62.3	981.5	981.5	981.4	0.0		0.00	28.5
17:00:06 09/05/2019	20	28.5	28.5	28.4	65.6	66.0	62.2	981.6	981.6	980.3	0.0		79.41	28.0
18:00:00 09/05/2019	21	28.4	28.5	28.4	66.1	67.3	65.2	981.5	981.6	980.2	0.0		101.71	28.0
19:00:02 09/05/2019	22	28.2	28.4	28.1	66.5	67.5	65.2	982.0	982.0	980.5	1.1		68.26	28.0
16:25:52 09/05/2019	19	30.1	30.1	30.1	64.0	66.0	64.0	978.0	977.9	715.0	0.0		0.00	30.0
16:25:52 09/05/2019	19	30.1	30.1	30.1	65.4	66.2	65.4	978.0	978.0	715.0	0.0		0.00	30.0
