Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:11 05/06/2019	00	15.0	16.1	15.0	76.2	77.7	73.2	919.7	919.8	919.4	0.0		57.11	14.5
01:00:06 05/06/2019	01	13.9	15.0	13.8	81.7	81.9	76.2	920.2	920.2	919.7	0.0		57.11	13.5
02:00:14 05/06/2019	02	13.3	14.0	13.3	84.7	84.7	81.6	920.1	920.3	920.0	0.0		57.11	13.0
03:00:08 05/06/2019	03	12.8	13.3	12.7	89.0	89.3	84.5	919.8	920.1	919.8	0.0		45.96	12.0
04:00:01 05/06/2019	04	11.9	12.8	10.6	96.4	100.0	89.0	920.0	920.1	919.8	0.0		57.11	11.0
05:00:10 05/06/2019	05	11.4	12.1	11.4	96.1	97.0	94.1	919.5	920.0	919.5	0.0		57.11	11.0
06:00:04 05/06/2019	06	10.5	11.5	10.2	98.9	100.0	95.4	919.0	919.5	919.0	4.7		57.11	10.0
07:00:12 05/06/2019	07	10.4	10.7	10.2	99.6	100.0	98.6	918.5	919.0	918.5	0.8		57.11	10.0
08:00:06 05/06/2019	08	10.2	10.5	10.2	96.4	99.6	94.9	918.6	918.7	918.5	0.0		45.96	10.0
09:00:14 05/06/2019	09	9.9	10.2	9.2	97.2	100.0	96.3	919.0	919.0	918.6	1.6		57.11	9.0
10:00:08 05/06/2019	10	10.8	10.9	9.7	92.4	97.9	92.2	919.8	919.9	919.0	0.0		5532.11	11.5
11:00:04 05/06/2019	11	14.0	14.0	10.8	82.1	92.5	81.3	920.5	920.6	919.8	0.0		11397.38	17.5
12:00:14 05/06/2019	12	15.4	16.0	13.2	78.9	84.8	75.4	921.3	921.3	920.5	0.0		11397.38	21.0
13:00:10 05/06/2019	13	18.5	18.6	15.4	73.0	78.9	70.5	921.3	921.5	921.2	0.0		11397.38	23.5
14:00:05 05/06/2019	14	18.3	19.4	16.7	70.8	76.5	67.9	921.0	921.4	920.9	0.0		11397.38	22.5
15:00:00 05/06/2019	15	18.8	20.1	17.6	71.6	74.4	66.5	920.2	921.1	920.2	0.0		11397.38	21.0
16:00:11 05/06/2019	16	20.4	22.4	18.6	64.7	72.3	60.6	919.3	920.3	919.2	0.0		11397.38	25.5
17:00:06 05/06/2019	17	21.8	22.1	19.2	62.9	69.2	61.3	918.5	919.4	918.5	0.0		11397.38	23.0
18:00:02 05/06/2019	18	125.0	125.0	21.9	60.2	66.3	57.9	918.2	918.5	918.0	0.0		8855.02	23.5
19:00:12 05/06/2019	19	125.0	125.0	125.0	62.4	64.3	57.7	918.0	918.3	917.8	0.0		11397.38	23.5
20:00:08 05/06/2019	20	125.0	125.0	125.0	66.2	66.7	60.3	918.2	918.3	917.9	0.0		4260.92	21.5
21:00:03 05/06/2019	21	125.0	125.0	125.0	74.9	75.2	66.2	918.6	918.7	918.2	0.0		57.11	16.5
22:00:14 05/06/2019	22	125.0	125.0	125.0	79.2	79.4	74.3	919.2	919.2	918.6	0.0		45.96	15.5
23:00:09 05/06/2019	23	125.0	125.0	125.0	84.8	85.0	79.0	919.5	919.5	919.1	0.0		45.96	14.5
