Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:06 27/05/2019	00	27.4	27.6	27.3	75.4	75.7	74.4	983.0	983.0	982.5	0.0		68.26	27.5
01:00:00 27/05/2019	01	27.2	27.4	27.2	75.9	75.9	75.3	983.2	983.3	982.9	0.0		68.26	27.0
02:00:08 27/05/2019	02	27.0	27.2	26.9	76.3	76.4	75.7	983.3	983.4	983.2	0.0		79.41	27.0
03:00:01 27/05/2019	03	26.6	27.0	26.6	76.4	76.4	75.6	983.3	983.4	983.2	0.0		68.26	26.5
04:00:09 27/05/2019	04	26.7	26.7	26.6	75.7	76.6	75.7	983.1	983.4	983.1	0.0		68.26	26.5
05:00:02 27/05/2019	05	26.5	26.7	26.5	76.2	76.2	75.4	983.0	983.2	983.0	0.0		68.26	26.5
06:00:11 27/05/2019	06	26.4	26.5	26.4	77.4	77.4	76.0	983.0	983.1	982.9	0.0		68.26	26.5
07:00:04 27/05/2019	07	26.4	26.5	26.4	77.1	77.8	76.9	982.9	983.0	982.8	0.0		68.26	26.5
08:00:13 27/05/2019	08	26.1	26.4	26.1	78.5	78.5	77.1	983.5	983.5	982.9	0.0		45.96	26.0
09:00:06 27/05/2019	09	26.2	26.2	26.0	78.8	79.5	78.2	983.9	984.0	983.4	0.0		57.11	26.0
10:00:00 27/05/2019	10	26.2	26.2	26.2	78.7	78.9	78.4	984.6	984.6	983.9	0.0		57.11	26.0
11:00:09 27/05/2019	11	26.3	26.3	26.1	79.3	79.4	78.4	985.1	985.2	984.6	0.0		68.26	26.5
12:00:03 27/05/2019	12	26.5	26.5	26.3	77.4	79.6	77.4	985.6	985.7	985.1	0.0		124.01	26.5
13:00:13 27/05/2019	13	26.8	26.8	26.5	75.1	77.4	75.1	985.3	985.7	985.3	0.0		202.07	27.0
14:00:08 27/05/2019	14	27.6	27.6	26.8	72.5	75.4	72.1	984.7	985.4	984.6	0.0		202.07	27.5
15:00:03 27/05/2019	15	28.5	28.5	27.6	63.0	72.4	62.7	983.4	984.7	983.4	0.0		146.31	28.5
16:00:13 27/05/2019	16	29.0	29.0	28.5	61.0	63.7	60.7	982.5	983.5	982.4	0.0		190.92	29.0
17:00:08 27/05/2019	17	28.8	29.1	28.8	63.0	63.2	61.0	981.9	982.5	981.9	0.0		124.01	29.0
18:00:02 27/05/2019	18	29.0	29.0	28.8	61.6	63.0	60.2	981.3	981.9	981.3	0.0		135.16	29.0
19:00:12 27/05/2019	19	28.9	29.1	28.9	61.7	62.1	60.9	981.4	981.5	981.3	0.0		79.41	29.0
20:00:07 27/05/2019	20	28.8	28.9	28.8	65.6	65.7	60.8	981.9	981.9	981.3	0.0		68.26	28.5
21:00:02 27/05/2019	21	28.3	28.8	28.3	69.0	69.2	65.6	982.1	982.1	981.8	0.0		68.26	28.0
22:00:13 27/05/2019	22	27.7	28.3	27.7	69.3	72.6	69.0	982.5	982.6	982.1	0.0		57.11	27.5
23:00:08 27/05/2019	23	27.3	27.7	27.3	69.6	69.7	69.2	983.0	983.1	982.5	0.0		68.26	27.0
