Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:11 01/06/2019	00	21.2	21.5	20.7	81.4	84.6	81.2	912.1	912.1	911.7	0.0		57.11	20.0
01:00:05 01/06/2019	01	19.9	21.2	19.9	87.3	87.8	80.9	912.7	912.8	912.1	0.0		45.96	20.0
02:00:14 01/06/2019	02	19.6	19.9	19.3	89.5	91.5	87.2	912.8	913.0	912.7	0.0		45.96	19.0
03:00:07 01/06/2019	03	19.3	19.6	19.1	90.9	92.0	89.4	1199.8	1199.8	912.6	0.0		45.96	18.5
04:00:01 01/06/2019	04	18.2	19.4	18.2	95.6	95.6	90.2	912.5	1199.8	912.5	0.0		57.11	18.0
05:00:10 01/06/2019	05	17.5	18.7	17.4	98.0	98.9	93.3	912.0	912.5	911.9	0.0		45.96	17.5
06:00:03 01/06/2019	06	16.9	17.6	16.8	100.0	100.0	98.0	911.7	912.1	911.6	0.0		45.96	16.5
07:00:12 01/06/2019	07	16.0	16.9	16.0	100.0	100.0	100.0	911.6	911.8	911.6	0.0		45.96	16.0
08:00:05 01/06/2019	08	16.0	16.2	15.9	100.0	100.0	100.0	911.8	911.8	911.5	0.0		57.11	16.0
09:00:14 01/06/2019	09	16.0	16.1	15.8	100.0	100.0	100.0	912.4	912.4	911.7	0.0		57.11	15.5
10:00:08 01/06/2019	10	18.8	18.8	15.9	92.5	100.0	92.5	913.4	913.4	912.4	0.0		4829.61	17.5
11:00:04 01/06/2019	11	22.7	22.7	17.1	80.0	100.0	79.6	913.9	913.9	913.2	0.0		11397.38	23.5
12:00:00 01/06/2019	12	26.8	26.8	21.9	66.0	82.9	65.6	914.4	914.6	913.9	0.0		11196.67	31.5
13:00:10 01/06/2019	13	26.3	27.7	24.8	64.0	71.4	63.1	914.6	914.7	914.3	0.3		11397.38	32.0
14:00:06 01/06/2019	14	27.4	28.1	25.2	60.7	66.9	57.8	914.0	914.7	914.0	0.8		11397.38	32.5
15:00:01 01/06/2019	15	29.0	30.1	26.8	55.9	61.9	53.0	913.2	914.0	913.1	1.1		11397.38	34.0
16:00:12 01/06/2019	16	29.4	31.1	27.4	52.4	58.6	49.8	912.2	913.3	912.2	2.6		11397.38	34.0
17:00:07 01/06/2019	17	29.9	31.0	27.8	54.7	57.2	50.0	911.5	912.3	911.5	1.3		11397.38	32.0
18:00:03 01/06/2019	18	30.2	31.5	28.4	50.5	54.6	47.4	911.4	911.5	911.3	1.3		11397.38	33.5
19:00:14 01/06/2019	19	29.3	30.6	27.1	49.1	54.2	46.0	911.3	911.6	911.2	1.1		11397.38	32.0
20:00:10 01/06/2019	20	27.3	29.7	27.3	54.1	54.2	48.5	911.6	911.6	911.3	0.0		3982.16	28.5
21:00:07 01/06/2019	21	23.7	27.3	23.7	68.4	68.8	54.1	912.2	1199.8	911.6	0.0		57.11	23.0
